,inflac,juros,juros_real,inflac_acm,juros_acm,juros_real_acm,inflac_acm_adv
2018-10-01,0.45,0.54,0.0620689655172415,0.45,0.54,0.0620689655172415,
2018-10-01,0.45,0.54,0.0620689655172415,0.9,1.08,0.124137931034483,
2018-12-01,0.15,0.49,0.29565217391304355,1.05,1.57,0.41979010494752655,
2019-01-01,0.32,0.54,0.16666666666666674,1.37,2.1100000000000003,0.5864567716141933,
2019-02-01,0.43,0.49,0.04195804195804209,1.8,2.6000000000000005,0.6284148135722354,
2019-03-01,0.75,0.47,-0.16000000000000003,2.55,3.0700000000000003,0.46841481357223536,
2019-04-01,0.57,0.52,-0.031847133757961665,3.1199999999999997,3.5900000000000003,0.4365676798142737,
2019-05-01,0.13,0.54,0.36283185840707977,3.2499999999999996,4.130000000000001,0.7993995382213535,
2019-06-01,0.01,0.47,0.4554455445544554,3.2599999999999993,4.6000000000000005,1.2548450827758089,
2019-07-01,0.19,0.57,0.31932773109243695,3.4499999999999993,5.170000000000001,1.5741728138682458,
2019-08-01,0.11,0.5,0.3513513513513513,3.559999999999999,5.670000000000001,1.9255241652195971,
2019-09-01,-0.04,0.46,0.5208333333333333,3.519999999999999,6.130000000000001,2.4463574985529304,
2019-10-01,0.1,0.48,0.34545454545454524,3.619999999999999,6.610000000000001,2.7918120440074756,
2019-11-01,0.51,0.38,-0.08609271523178819,4.129999999999999,6.990000000000001,2.7057193287756873,
2019-12-01,1.15,0.37,-0.3627906976744185,5.279999999999999,7.360000000000001,2.3429286311012687,0.45
2020-01-01,0.21,0.38,0.14049586776859502,5.489999999999999,7.740000000000001,2.483424498869864,0.9
2020-02-01,0.25,0.29,0.03200000000000003,5.739999999999999,8.030000000000001,2.515424498869864,1.05
2020-03-01,0.07,0.34,0.25233644859813076,5.81,8.370000000000001,2.7677609474679947,1.37
2020-04-01,-0.31,0.28,0.8550724637681162,5.5,8.65,3.622833411236111,1.8
2020-05-01,-0.38,0.24,1.0,5.12,8.89,4.622833411236111,2.55
2020-06-01,0.26,0.21,-0.039682539682539764,5.38,9.100000000000001,4.583150871553571,3.1199999999999997
2020-07-01,0.36,0.19,-0.125,5.74,9.290000000000001,4.458150871553571,3.2499999999999996
2020-08-01,0.24,0.16,-0.06451612903225812,5.98,9.450000000000001,4.393634742521313,3.2599999999999993
2020-09-01,0.64,0.16,-0.29268292682926844,6.62,9.610000000000001,4.100951815692045,3.4499999999999993
2020-10-01,0.86,0.16,-0.3763440860215054,7.48,9.770000000000001,3.7246077296705393,3.559999999999999
2020-11-01,0.89,0.15,-0.3915343915343916,8.370000000000001,9.920000000000002,3.3330733381361477,3.519999999999999
2020-12-01,1.35,0.16,-0.5063829787234043,9.72,10.080000000000002,2.8266903594127433,3.619999999999999
2021-01-01,0.25,0.15,-0.08000000000000007,9.97,10.230000000000002,2.746690359412743,4.129999999999999
2021-02-01,0.86,0.13,-0.3924731182795699,10.83,10.360000000000003,2.354217241133173,5.279999999999999
2021-03-01,0.93,0.2,-0.37823834196891204,11.76,10.560000000000002,1.9759788991642613,5.489999999999999
2021-04-01,0.31,0.21,-0.07633587786259544,12.07,10.770000000000003,1.899643021301666,5.739999999999999
2021-05-01,0.83,0.27,-0.30601092896174864,12.9,11.040000000000003,1.5936320923399174,5.81
2021-06-01,0.53,0.31,-0.14379084967320255,13.43,11.350000000000003,1.4498412426667149,5.5
2021-07-01,0.96,0.36,-0.30612244897959184,14.39,11.710000000000003,1.143718793687123,5.12
2021-08-01,0.87,0.43,-0.23529411764705888,15.26,12.140000000000002,0.908424676040064,5.38
2021-09-01,1.16,0.44,-0.33333333333333337,16.419999999999998,12.580000000000002,0.5750913427067307,5.74
2021-10-01,1.25,0.49,-0.33777777777777773,17.669999999999998,13.070000000000002,0.23731356492895295,5.98
2021-11-01,0.95,0.59,-0.18461538461538463,18.619999999999997,13.660000000000002,0.05269818031356832,6.62
2021-12-01,0.73,0.77,0.023121387283236983,19.349999999999998,14.430000000000001,0.0758195675968053,7.48
2022-01-01,0.54,0.73,0.12337662337662336,19.889999999999997,15.160000000000002,0.19919619097342867,8.370000000000001
2022-02-01,1.01,0.76,-0.1243781094527362,20.9,15.920000000000002,0.07481808152069247,9.72
2022-03-01,1.62,0.93,-0.26335877862595414,22.52,16.85,-0.18854069710526167,9.97
2022-04-01,1.06,0.83,-0.11165048543689315,23.58,17.68,-0.3001911825421548,10.83
2022-05-01,0.47,1.03,0.38095238095238115,24.049999999999997,18.71,0.08076119841022633,11.76
2022-06-01,0.67,1.02,0.20958083832335328,24.72,19.73,0.2903420367335796,12.07
2022-07-01,-0.68,1.03,5.343750000000002,24.04,20.76,5.634092036733581,12.9
2022-08-01,-0.36,1.17,2.390625,23.68,21.93,8.02471703673358,13.43
2022-09-01,-0.29,1.07,1.9154929577464794,23.39,23.0,9.94020999448006,14.39
2022-10-01,0.59,1.02,0.2704402515723272,23.98,24.02,10.210650246052388,15.26
2022-11-01,0.41,1.02,0.4326241134751774,24.39,25.04,10.643274359527567,16.419999999999998
2022-12-01,0.62,1.12,0.308641975308642,25.01,26.16,10.95191633483621,17.669999999999998
2023-01-01,0.53,1.12,0.3856209150326797,25.540000000000003,27.28,11.33753724986889,18.619999999999997
2023-02-01,0.84,0.92,0.04347826086956519,26.380000000000003,28.200000000000003,11.381015510738454,19.349999999999998
2023-03-01,0.71,1.17,0.26900584795321625,27.090000000000003,29.370000000000005,11.65002135869167,19.889999999999997
2023-04-01,0.61,0.92,0.1925465838509317,27.700000000000003,30.290000000000006,11.842567942542603,20.9
2023-05-01,0.23,1.12,0.7235772357723578,27.930000000000003,31.410000000000007,12.566145178314962,22.52
2023-06-01,-0.08,1.07,1.25,27.850000000000005,32.480000000000004,13.816145178314962,23.58
2023-07-01,0.12,1.07,0.8482142857142858,27.970000000000006,33.550000000000004,14.664359464029248,24.049999999999997
2023-08-01,0.23,1.14,0.7398373983739834,28.200000000000006,34.690000000000005,15.404196862403232,24.72
2023-09-01,0.26,0.97,0.5634920634920635,28.460000000000008,35.660000000000004,15.967688925895295,24.04
